AirGap,AirGap(mm),B,B(mt),Force,Force(mt),Duty,Duty(%),CurrentSmallSig,CurrentSmallSig(),Current,Current(A)
650,10.23,586,82.67699999999999,-592,-591.0,6100,0.61,0,0,268,3.4351000000000003
650,10.23,588,82.9904,-592,-591.0,5800,0.5800000000000001,0,0,268,3.4351000000000003
650,10.23,586,82.67699999999999,-592,-591.0,5800,0.5800000000000001,1,1,267,3.4228
650,10.23,583,82.20689999999999,-592,-591.0,5800,0.5800000000000001,-3,-3,265,3.3982
648,10.245384615384616,577,81.26670000000001,-592,-591.0,5900,0.5900000000000001,-4,-4,260,3.3367
648,10.245384615384616,578,81.42340000000002,-592,-591.0,6400,0.64,-9,-9,262,3.3613
650,10.23,582,82.05019999999999,-592,-591.0,6300,0.63,-4,-4,264,3.3859
651,10.222307692307693,586,82.67699999999999,-592,-591.0,5900,0.5900000000000001,-7,-7,268,3.4351000000000003
650,10.23,587,82.8337,-592,-591.0,5600,0.56,2,2,270,3.4597
650,10.23,585,82.52029999999999,-592,-591.0,5700,0.5700000000000001,-1,-1,267,3.4228
650,10.23,581,81.89349999999999,-592,-591.0,5800,0.5800000000000001,-4,-4,261,3.349
649,10.237692307692308,577,81.26670000000001,-592,-591.0,6100,0.61,-4,-4,258,3.3121
650,10.23,580,81.73680000000002,-592,-591.0,6400,0.64,-8,-8,262,3.3613
649,10.237692307692308,583,82.20689999999999,-592,-591.0,6100,0.61,-2,-2,266,3.4105000000000003
650,10.23,587,82.8337,-592,-591.0,6000,0.6,-3,-3,272,3.4843
650,10.23,586,82.67699999999999,-592,-591.0,5600,0.56,1,1,264,3.3859
650,10.23,584,82.36359999999999,-592,-591.0,6000,0.6,-2,-2,265,3.3982
649,10.237692307692308,580,81.73680000000002,-592,-591.0,5900,0.5900000000000001,-5,-5,263,3.3736
649,10.237692307692308,577,81.26670000000001,-592,-591.0,6100,0.61,-7,-7,262,3.3613
649,10.237692307692308,580,81.73680000000002,-592,-591.0,6200,0.62,-7,-7,264,3.3859
650,10.23,584,82.36359999999999,-592,-591.0,6100,0.61,-2,-2,265,3.3982
650,10.23,587,82.8337,-592,-591.0,5900,0.5900000000000001,2,2,269,3.4474
650,10.23,584,82.36359999999999,-592,-591.0,5700,0.5700000000000001,1,1,264,3.3859
650,10.23,583,82.20689999999999,-592,-591.0,6000,0.6,-3,-3,262,3.3613
650,10.23,578,81.42340000000002,-592,-591.0,6100,0.61,-4,-4,262,3.3613
649,10.237692307692308,578,81.42340000000002,-592,-591.0,6100,0.61,-10,-10,259,3.3244000000000002
649,10.237692307692308,583,82.20689999999999,-591,-590.0,6300,0.63,-3,-3,265,3.3982
650,10.23,586,82.67699999999999,-591,-590.0,6000,0.6,-5,-5,272,3.4843
650,10.23,586,82.67699999999999,-592,-591.0,5600,0.56,3,3,270,3.4597
650,10.23,584,82.36359999999999,-592,-591.0,5700,0.5700000000000001,-1,-1,266,3.4105000000000003
649,10.237692307692308,581,81.89349999999999,-591,-590.0,5900,0.5900000000000001,-5,-5,264,3.3859
649,10.237692307692308,576,81.11000000000001,-591,-590.0,6100,0.61,-3,-3,261,3.349
648,10.245384615384616,579,81.58010000000002,-591,-590.0,6200,0.62,-8,-8,262,3.3613
651,10.222307692307693,584,82.36359999999999,-591,-590.0,6300,0.63,-1,-1,268,3.4351000000000003
651,10.222307692307693,586,82.67699999999999,-591,-590.0,5600,0.56,-7,-7,271,3.472
650,10.23,585,82.52029999999999,-591,-590.0,5500,0.55,1,1,269,3.4474
650,10.23,583,82.20689999999999,-592,-591.0,5700,0.5700000000000001,-2,-2,268,3.4351000000000003
649,10.237692307692308,579,81.58010000000002,-591,-590.0,5800,0.5800000000000001,-5,-5,262,3.3613
649,10.237692307692308,576,81.11000000000001,-591,-590.0,6200,0.62,-7,-7,260,3.3367
648,10.245384615384616,580,81.73680000000002,-592,-591.0,6300,0.63,-6,-6,264,3.3859
650,10.23,586,82.67699999999999,-592,-591.0,6200,0.62,-5,-5,269,3.4474
650,10.23,586,82.67699999999999,-591,-590.0,5700,0.5700000000000001,-1,-1,270,3.4597
650,10.23,584,82.36359999999999,-591,-590.0,5600,0.56,1,1,267,3.4228
650,10.23,582,82.05019999999999,-591,-590.0,5800,0.5800000000000001,-3,-3,261,3.349
648,10.245384615384616,576,81.11000000000001,-591,-590.0,6100,0.61,-2,-2,259,3.3244000000000002
649,10.237692307692308,577,81.26670000000001,-591,-590.0,6500,0.65,-8,-8,263,3.3736
650,10.23,581,81.89349999999999,-591,-590.0,6100,0.61,-4,-4,267,3.4228
650,10.23,586,82.67699999999999,-591,-590.0,5800,0.5800000000000001,-5,-5,270,3.4597
650,10.23,585,82.52029999999999,-591,-590.0,5600,0.56,2,2,268,3.4351000000000003
650,10.23,583,82.20689999999999,-591,-590.0,5700,0.5700000000000001,0,0,265,3.3982
650,10.23,579,81.58010000000002,-592,-591.0,5900,0.5900000000000001,-4,-4,263,3.3736
648,10.245384615384616,575,80.95330000000001,-591,-590.0,6000,0.6,-4,-4,256,3.2875
649,10.237692307692308,578,81.42340000000002,-591,-590.0,6600,0.66,-6,-6,261,3.349
650,10.23,583,82.20689999999999,-591,-590.0,6200,0.62,-3,-3,267,3.4228
650,10.23,585,82.52029999999999,-591,-590.0,5800,0.5800000000000001,-5,-5,270,3.4597
650,10.23,584,82.36359999999999,-591,-590.0,5600,0.56,1,1,266,3.4105000000000003
650,10.23,582,82.05019999999999,-592,-591.0,5800,0.5800000000000001,-1,-1,265,3.3982
648,10.245384615384616,578,81.42340000000002,-591,-590.0,5900,0.5900000000000001,-4,-4,264,3.3859
649,10.237692307692308,576,81.11000000000001,-592,-591.0,6200,0.62,-9,-9,259,3.3244000000000002
650,10.23,579,81.58010000000002,-592,-591.0,6300,0.63,-5,-5,263,3.3736
650,10.23,583,82.20689999999999,-591,-590.0,6000,0.6,-1,-1,265,3.3982
650,10.23,585,82.52029999999999,-592,-591.0,5900,0.5900000000000001,3,3,268,3.4351000000000003
650,10.23,584,82.36359999999999,-592,-591.0,5700,0.5700000000000001,1,1,265,3.3982
650,10.23,581,81.89349999999999,-592,-591.0,5900,0.5900000000000001,-4,-4,261,3.349
649,10.237692307692308,577,81.26670000000001,-592,-591.0,6100,0.61,-1,-1,259,3.3244000000000002
648,10.245384615384616,577,81.26670000000001,-592,-591.0,6300,0.63,-9,-9,259,3.3244000000000002
649,10.237692307692308,583,82.20689999999999,-591,-590.0,6500,0.65,0,0,267,3.4228
650,10.23,587,82.8337,-592,-591.0,5900,0.5900000000000001,-6,-6,266,3.4105000000000003
650,10.23,586,82.67699999999999,-592,-591.0,5800,0.5800000000000001,2,2,268,3.4351000000000003
650,10.23,583,82.20689999999999,-592,-591.0,5700,0.5700000000000001,-1,-1,264,3.3859
650,10.23,581,81.89349999999999,-592,-591.0,5900,0.5900000000000001,-4,-4,262,3.3613
649,10.237692307692308,576,81.11000000000001,-592,-591.0,6000,0.6,7,7,263,3.3736
649,10.237692307692308,579,81.58010000000002,-592,-591.0,6100,0.61,-8,-8,260,3.3367
650,10.23,583,82.20689999999999,-592,-591.0,6300,0.63,-3,-3,269,3.4474
650,10.23,586,82.67699999999999,-592,-591.0,5700,0.5700000000000001,-2,-2,267,3.4228
650,10.23,585,82.52029999999999,-592,-591.0,5800,0.5800000000000001,1,1,265,3.3982
650,10.23,582,82.05019999999999,-592,-591.0,5900,0.5900000000000001,-1,-1,262,3.3613
649,10.237692307692308,578,81.42340000000002,-592,-591.0,6100,0.61,-4,-4,263,3.3736
649,10.237692307692308,576,81.11000000000001,-592,-591.0,6100,0.61,-6,-6,259,3.3244000000000002
648,10.245384615384616,580,81.73680000000002,-592,-591.0,6300,0.63,-4,-4,265,3.3982
649,10.237692307692308,585,82.52029999999999,-592,-591.0,6100,0.61,-1,-1,267,3.4228
650,10.23,587,82.8337,-592,-591.0,5900,0.5900000000000001,3,3,270,3.4597
650,10.23,585,82.52029999999999,-592,-591.0,5600,0.56,1,1,268,3.4351000000000003
650,10.23,582,82.05019999999999,-592,-591.0,5700,0.5700000000000001,-3,-3,265,3.3982
649,10.237692307692308,577,81.26670000000001,-592,-591.0,5900,0.5900000000000001,-3,-3,259,3.3244000000000002
650,10.23,577,81.26670000000001,-592,-591.0,6300,0.63,-9,-9,261,3.349
650,10.23,580,81.73680000000002,-592,-591.0,6100,0.61,-4,-4,265,3.3982
650,10.23,585,82.52029999999999,-592,-591.0,5900,0.5900000000000001,-7,-7,272,3.4843
650,10.23,585,82.52029999999999,-592,-591.0,5500,0.55,3,3,264,3.3859
649,10.237692307692308,582,82.05019999999999,-592,-591.0,6000,0.6,0,0,263,3.3736
649,10.237692307692308,580,81.73680000000002,-592,-591.0,6100,0.61,-3,-3,264,3.3859
649,10.237692307692308,576,81.11000000000001,-593,-592.0,6100,0.61,-2,-2,261,3.349
649,10.237692307692308,578,81.42340000000002,-592,-591.0,6200,0.62,-8,-8,263,3.3736
649,10.237692307692308,583,82.20689999999999,-593,-592.0,6100,0.61,2,2,266,3.4105000000000003
650,10.23,586,82.67699999999999,-592,-591.0,6000,0.6,-2,-2,270,3.4597
650,10.23,584,82.36359999999999,-592,-591.0,5600,0.56,2,2,269,3.4474
650,10.23,581,81.89349999999999,-592,-591.0,5700,0.5700000000000001,-2,-2,266,3.4105000000000003
649,10.237692307692308,578,81.42340000000002,-593,-592.0,5800,0.5800000000000001,-5,-5,259,3.3244000000000002
649,10.237692307692308,575,80.95330000000001,-593,-592.0,6300,0.63,-7,-7,258,3.3121
648,10.245384615384616,580,81.73680000000002,-593,-592.0,6400,0.64,-4,-4,266,3.4105000000000003
650,10.23,584,82.36359999999999,-593,-592.0,6100,0.61,-1,-1,263,3.3736
650,10.23,585,82.52029999999999,-593,-592.0,6000,0.6,4,4,270,3.4597
650,10.23,584,82.36359999999999,-593,-592.0,5600,0.56,1,1,265,3.3982
650,10.23,582,82.05019999999999,-593,-592.0,5900,0.5900000000000001,-3,-3,262,3.3613
648,10.245384615384616,577,81.26670000000001,-593,-592.0,6000,0.6,-3,-3,261,3.349
648,10.245384615384616,577,81.26670000000001,-593,-592.0,6300,0.63,-10,-10,264,3.3859
649,10.237692307692308,582,82.05019999999999,-593,-592.0,6200,0.62,-1,-1,264,3.3859
650,10.23,585,82.52029999999999,-593,-592.0,6000,0.6,-9,-9,270,3.4597
650,10.23,585,82.52029999999999,-593,-592.0,5600,0.56,3,3,271,3.472
649,10.237692307692308,583,82.20689999999999,-593,-592.0,5600,0.56,-1,-1,266,3.4105000000000003
650,10.23,580,81.73680000000002,-593,-592.0,6000,0.6,-4,-4,263,3.3736
649,10.237692307692308,576,81.11000000000001,-593,-592.0,6000,0.6,-4,-4,259,3.3244000000000002
649,10.237692307692308,578,81.42340000000002,-593,-592.0,6300,0.63,-8,-8,261,3.349
649,10.237692307692308,583,82.20689999999999,-593,-592.0,6200,0.62,2,2,269,3.4474
650,10.23,586,82.67699999999999,-593,-592.0,5800,0.5800000000000001,-7,-7,273,3.4966
650,10.23,584,82.36359999999999,-593,-592.0,5500,0.55,2,2,268,3.4351000000000003
649,10.237692307692308,582,82.05019999999999,-593,-592.0,5700,0.5700000000000001,-1,-1,265,3.3982
648,10.245384615384616,578,81.42340000000002,-593,-592.0,6000,0.6,-5,-5,260,3.3367
649,10.237692307692308,576,81.11000000000001,-593,-592.0,6400,0.64,-7,-7,260,3.3367
649,10.237692307692308,580,81.73680000000002,-593,-592.0,6200,0.62,-6,-6,262,3.3613
649,10.237692307692308,585,82.52029999999999,-593,-592.0,6100,0.61,-3,-3,267,3.4228
650,10.23,585,82.52029999999999,-593,-592.0,5900,0.5900000000000001,3,3,269,3.4474
650,10.23,584,82.36359999999999,-593,-592.0,5700,0.5700000000000001,2,2,269,3.4474
649,10.237692307692308,581,81.89349999999999,-593,-592.0,5700,0.5700000000000001,-3,-3,266,3.4105000000000003
648,10.245384615384616,576,81.11000000000001,-593,-592.0,5900,0.5900000000000001,-2,-2,258,3.3121
648,10.245384615384616,577,81.26670000000001,-593,-592.0,6500,0.65,-8,-8,263,3.3736
648,10.245384615384616,581,81.89349999999999,-593,-592.0,6200,0.62,-1,-1,264,3.3859
650,10.23,585,82.52029999999999,-592,-591.0,6100,0.61,-10,-10,270,3.4597
650,10.23,585,82.52029999999999,-593,-592.0,5600,0.56,3,3,271,3.472
650,10.23,584,82.36359999999999,-593,-592.0,5500,0.55,0,0,265,3.3982
649,10.237692307692308,580,81.73680000000002,-593,-592.0,5900,0.5900000000000001,-4,-4,264,3.3859
648,10.245384615384616,575,80.95330000000001,-592,-591.0,6000,0.6,-1,-1,261,3.349
648,10.245384615384616,579,81.58010000000002,-593,-592.0,6300,0.63,-7,-7,260,3.3367
648,10.245384615384616,583,82.20689999999999,-592,-591.0,6300,0.63,-2,-2,265,3.3982
649,10.237692307692308,586,82.67699999999999,-593,-592.0,6100,0.61,0,0,269,3.4474
650,10.23,585,82.52029999999999,-592,-591.0,5800,0.5800000000000001,2,2,267,3.4228
650,10.23,582,82.05019999999999,-592,-591.0,5700,0.5700000000000001,-2,-2,264,3.3859
649,10.237692307692308,579,81.58010000000002,-593,-592.0,5900,0.5900000000000001,-5,-5,262,3.3613
648,10.245384615384616,576,81.11000000000001,-592,-591.0,6100,0.61,-8,-8,262,3.3613
649,10.237692307692308,580,81.73680000000002,-592,-591.0,6300,0.63,-5,-5,263,3.3736
650,10.23,585,82.52029999999999,-592,-591.0,6100,0.61,-7,-7,268,3.4351000000000003
650,10.23,586,82.67699999999999,-592,-591.0,5700,0.5700000000000001,2,2,268,3.4351000000000003
650,10.23,584,82.36359999999999,-592,-591.0,5700,0.5700000000000001,1,1,265,3.3982
649,10.237692307692308,582,82.05019999999999,-592,-591.0,5900,0.5900000000000001,-3,-3,265,3.3982
648,10.245384615384616,576,81.11000000000001,-592,-591.0,6000,0.6,-2,-2,259,3.3244000000000002
648,10.245384615384616,578,81.42340000000002,-592,-591.0,6400,0.64,-8,-8,261,3.349
648,10.245384615384616,582,82.05019999999999,-592,-591.0,6300,0.63,-2,-2,264,3.3859
650,10.23,586,82.67699999999999,-592,-591.0,6100,0.61,-8,-8,270,3.4597
650,10.23,586,82.67699999999999,-592,-591.0,5600,0.56,4,4,267,3.4228
650,10.23,584,82.36359999999999,-592,-591.0,5700,0.5700000000000001,0,0,266,3.4105000000000003
650,10.23,580,81.73680000000002,-592,-591.0,5800,0.5800000000000001,-4,-4,259,3.3244000000000002
648,10.245384615384616,576,81.11000000000001,-592,-591.0,6200,0.62,-3,-3,260,3.3367
648,10.245384615384616,579,81.58010000000002,-592,-591.0,6400,0.64,-6,-6,260,3.3367
650,10.23,585,82.52029999999999,-592,-591.0,6400,0.64,0,0,265,3.3982
650,10.23,586,82.67699999999999,-592,-591.0,5800,0.5800000000000001,-3,-3,272,3.4843
649,10.237692307692308,585,82.52029999999999,-592,-591.0,5500,0.55,2,2,267,3.4228
649,10.237692307692308,583,82.20689999999999,-592,-591.0,5900,0.5900000000000001,-1,-1,264,3.3859
648,10.245384615384616,580,81.73680000000002,-592,-591.0,6000,0.6,-4,-4,262,3.3613
648,10.245384615384616,578,81.42340000000002,-592,-591.0,6300,0.63,-6,-6,261,3.349
648,10.245384615384616,582,82.05019999999999,-592,-591.0,6300,0.63,-5,-5,265,3.3982
649,10.237692307692308,586,82.67699999999999,-592,-591.0,6100,0.61,-6,-6,267,3.4228
650,10.23,587,82.8337,-592,-591.0,5900,0.5900000000000001,4,4,271,3.472
649,10.237692307692308,585,82.52029999999999,-592,-591.0,5500,0.55,1,1,265,3.3982
650,10.23,583,82.20689999999999,-592,-591.0,6000,0.6,-3,-3,264,3.3859
648,10.245384615384616,578,81.42340000000002,-592,-591.0,5900,0.5900000000000001,-3,-3,262,3.3613
648,10.245384615384616,579,81.58010000000002,-592,-591.0,6200,0.62,-9,-9,259,3.3244000000000002
649,10.237692307692308,584,82.36359999999999,-591,-590.0,6400,0.64,-2,-2,267,3.4228
650,10.23,588,82.9904,-592,-591.0,5900,0.5900000000000001,-11,-11,268,3.4351000000000003
650,10.23,587,82.8337,-592,-591.0,5700,0.5700000000000001,3,3,268,3.4351000000000003
648,10.245384615384616,584,82.36359999999999,-592,-591.0,5700,0.5700000000000001,-1,-1,268,3.4351000000000003
648,10.245384615384616,582,82.05019999999999,-592,-591.0,6000,0.6,-4,-4,262,3.3613
648,10.245384615384616,578,81.42340000000002,-592,-591.0,6200,0.62,-3,-3,262,3.3613
648,10.245384615384616,580,81.73680000000002,-592,-591.0,6200,0.62,-8,-8,264,3.3859
648,10.245384615384616,585,82.52029999999999,-591,-590.0,6100,0.61,-2,-2,270,3.4597
650,10.23,587,82.8337,-592,-591.0,5800,0.5800000000000001,5,5,271,3.472
650,10.23,587,82.8337,-591,-590.0,5500,0.55,2,2,268,3.4351000000000003
650,10.23,584,82.36359999999999,-592,-591.0,5700,0.5700000000000001,-3,-3,266,3.4105000000000003
649,10.237692307692308,580,81.73680000000002,-591,-590.0,5800,0.5800000000000001,-3,-3,261,3.349
648,10.245384615384616,577,81.26670000000001,-591,-590.0,6200,0.62,-7,-7,259,3.3244000000000002
648,10.245384615384616,582,82.05019999999999,-591,-590.0,6400,0.64,-3,-3,264,3.3859
649,10.237692307692308,587,82.8337,-591,-590.0,6100,0.61,-7,-7,269,3.4474
650,10.23,587,82.8337,-592,-591.0,5700,0.5700000000000001,1,1,271,3.472
649,10.237692307692308,585,82.52029999999999,-591,-590.0,5500,0.55,0,0,265,3.3982
648,10.245384615384616,582,82.05019999999999,-591,-590.0,6000,0.6,-3,-3,264,3.3859
648,10.245384615384616,578,81.42340000000002,-591,-590.0,6100,0.61,-2,-2,260,3.3367
648,10.245384615384616,579,81.58010000000002,-592,-591.0,6300,0.63,-9,-9,261,3.349
648,10.245384615384616,584,82.36359999999999,-591,-590.0,6300,0.63,-3,-3,265,3.3982
649,10.237692307692308,587,82.8337,-591,-590.0,6100,0.61,-2,-2,271,3.472
649,10.237692307692308,587,82.8337,-591,-590.0,5600,0.56,3,3,267,3.4228
650,10.23,585,82.52029999999999,-591,-590.0,5800,0.5800000000000001,-1,-1,266,3.4105000000000003
649,10.237692307692308,581,81.89349999999999,-591,-590.0,5800,0.5800000000000001,-4,-4,262,3.3613
648,10.245384615384616,578,81.42340000000002,-591,-590.0,6100,0.61,-1,-1,260,3.3367
648,10.245384615384616,580,81.73680000000002,-591,-590.0,6300,0.63,-7,-7,263,3.3736
649,10.237692307692308,586,82.67699999999999,-591,-590.0,6200,0.62,-1,-1,267,3.4228
650,10.23,588,82.9904,-591,-590.0,5800,0.5800000000000001,-6,-6,273,3.4966
648,10.245384615384616,586,82.67699999999999,-591,-590.0,5400,0.54,2,2,266,3.4105000000000003
648,10.245384615384616,584,82.36359999999999,-591,-590.0,6000,0.6,-2,-2,263,3.3736
648,10.245384615384616,580,81.73680000000002,-591,-590.0,6200,0.62,-4,-4,263,3.3736
648,10.245384615384616,579,81.58010000000002,-591,-590.0,6200,0.62,-9,-9,260,3.3367
648,10.245384615384616,583,82.20689999999999,-591,-590.0,6300,0.63,-6,-6,268,3.4351000000000003
649,10.237692307692308,587,82.8337,-591,-590.0,5900,0.5900000000000001,-3,-3,271,3.472
649,10.237692307692308,589,83.1471,-591,-590.0,5600,0.56,0,0,270,3.4597
648,10.245384615384616,586,82.67699999999999,-591,-590.0,5700,0.5700000000000001,1,1,270,3.4597
650,10.23,583,82.20689999999999,-591,-590.0,5800,0.5800000000000001,-3,-3,265,3.3982
648,10.245384615384616,578,81.42340000000002,-591,-590.0,5800,0.5800000000000001,-3,-3,262,3.3613
648,10.245384615384616,579,81.58010000000002,-591,-590.0,6200,0.62,-9,-9,262,3.3613
648,10.245384615384616,582,82.05019999999999,-591,-590.0,6200,0.62,-3,-3,269,3.4474
649,10.237692307692308,586,82.67699999999999,-591,-590.0,5800,0.5800000000000001,-10,-10,269,3.4474
649,10.237692307692308,586,82.67699999999999,-591,-590.0,5700,0.5700000000000001,3,3,265,3.3982
649,10.237692307692308,584,82.36359999999999,-591,-590.0,5900,0.5900000000000001,-2,-2,266,3.4105000000000003
648,10.245384615384616,581,81.89349999999999,-591,-590.0,5900,0.5900000000000001,-5,-5,268,3.4351000000000003
648,10.245384615384616,576,81.11000000000001,-591,-590.0,5900,0.5900000000000001,-4,-4,257,3.2998000000000003
648,10.245384615384616,579,81.58010000000002,-591,-590.0,6400,0.64,-7,-7,262,3.3613
649,10.237692307692308,584,82.36359999999999,-591,-590.0,6200,0.62,-2,-2,267,3.4228
650,10.23,586,82.67699999999999,-592,-591.0,5800,0.5800000000000001,-5,-5,268,3.4351000000000003
650,10.23,585,82.52029999999999,-591,-590.0,5600,0.56,1,1,269,3.4474
649,10.237692307692308,582,82.05019999999999,-591,-590.0,5600,0.56,-1,-1,263,3.3736
649,10.237692307692308,578,81.42340000000002,-592,-591.0,6000,0.6,-4,-4,259,3.3244000000000002
648,10.245384615384616,576,81.11000000000001,-591,-590.0,6200,0.62,-9,-9,256,3.2875
648,10.245384615384616,580,81.73680000000002,-591,-590.0,6500,0.65,-3,-3,265,3.3982
650,10.23,585,82.52029999999999,-591,-590.0,6100,0.61,-8,-8,267,3.4228
650,10.23,586,82.67699999999999,-591,-590.0,5700,0.5700000000000001,1,1,270,3.4597
648,10.245384615384616,584,82.36359999999999,-592,-591.0,5600,0.56,0,0,264,3.3859
648,10.245384615384616,582,82.05019999999999,-591,-590.0,6100,0.61,-3,-3,264,3.3859
647,10.253076923076923,577,81.26670000000001,-592,-591.0,6100,0.61,-2,-2,259,3.3244000000000002
648,10.245384615384616,579,81.58010000000002,-591,-590.0,6500,0.65,-8,-8,264,3.3859
648,10.245384615384616,583,82.20689999999999,-591,-590.0,6100,0.61,-4,-4,261,3.349
649,10.237692307692308,588,82.9904,-591,-590.0,6200,0.62,-5,-5,270,3.4597
649,10.237692307692308,587,82.8337,-591,-590.0,5700,0.5700000000000001,3,3,270,3.4597
649,10.237692307692308,585,82.52029999999999,-592,-591.0,5700,0.5700000000000001,-1,-1,265,3.3982
649,10.237692307692308,581,81.89349999999999,-591,-590.0,5900,0.5900000000000001,-4,-4,265,3.3982
648,10.245384615384616,577,81.26670000000001,-591,-590.0,5900,0.5900000000000001,-3,-3,255,3.2752
649,10.237692307692308,581,81.89349999999999,-591,-590.0,6600,0.66,-6,-6,263,3.3736
649,10.237692307692308,584,82.36359999999999,-591,-590.0,6000,0.6,2,2,268,3.4351000000000003
649,10.237692307692308,587,82.8337,-592,-591.0,5800,0.5800000000000001,-4,-4,270,3.4597
648,10.245384615384616,586,82.67699999999999,-592,-591.0,5700,0.5700000000000001,1,1,268,3.4351000000000003
648,10.245384615384616,584,82.36359999999999,-591,-590.0,5900,0.5900000000000001,-2,-2,264,3.3859
647,10.253076923076923,580,81.73680000000002,-592,-591.0,6100,0.61,-4,-4,264,3.3859
648,10.245384615384616,578,81.42340000000002,-592,-591.0,6200,0.62,-7,-7,261,3.349
648,10.245384615384616,582,82.05019999999999,-592,-591.0,6200,0.62,-5,-5,264,3.3859
649,10.237692307692308,587,82.8337,-592,-591.0,6100,0.61,-6,-6,272,3.4843
649,10.237692307692308,587,82.8337,-592,-591.0,5500,0.55,-2,-2,269,3.4474
649,10.237692307692308,585,82.52029999999999,-592,-591.0,5700,0.5700000000000001,0,0,267,3.4228
650,10.23,582,82.05019999999999,-592,-591.0,5800,0.5800000000000001,-3,-3,262,3.3613
648,10.245384615384616,578,81.42340000000002,-592,-591.0,5900,0.5900000000000001,-3,-3,260,3.3367
648,10.245384615384616,579,81.58010000000002,-592,-591.0,6300,0.63,-9,-9,261,3.349
648,10.245384615384616,583,82.20689999999999,-592,-591.0,6300,0.63,-2,-2,265,3.3982
649,10.237692307692308,587,82.8337,-592,-591.0,6000,0.6,-5,-5,268,3.4351000000000003
649,10.237692307692308,586,82.67699999999999,-592,-591.0,5800,0.5800000000000001,2,2,266,3.4105000000000003
648,10.245384615384616,584,82.36359999999999,-592,-591.0,5900,0.5900000000000001,-1,-1,264,3.3859
648,10.245384615384616,581,81.89349999999999,-592,-591.0,6100,0.61,-4,-4,265,3.3982
648,10.245384615384616,576,81.11000000000001,-592,-591.0,6000,0.6,-6,-6,259,3.3244000000000002
648,10.245384615384616,580,81.73680000000002,-592,-591.0,6300,0.63,-8,-8,261,3.349
648,10.245384615384616,586,82.67699999999999,-592,-591.0,6200,0.62,5,5,269,3.4474
650,10.23,587,82.8337,-592,-591.0,5800,0.5800000000000001,-4,-4,268,3.4351000000000003
650,10.23,586,82.67699999999999,-592,-591.0,5600,0.56,1,1,265,3.3982
650,10.23,584,82.36359999999999,-592,-591.0,5800,0.5800000000000001,-2,-2,264,3.3859
649,10.237692307692308,579,81.58010000000002,-592,-591.0,5900,0.5900000000000001,-5,-5,261,3.349
648,10.245384615384616,577,81.26670000000001,-592,-591.0,6100,0.61,-10,-10,259,3.3244000000000002
648,10.245384615384616,581,81.89349999999999,-592,-591.0,6400,0.64,-5,-5,264,3.3859
649,10.237692307692308,586,82.67699999999999,-592,-591.0,6100,0.61,-6,-6,269,3.4474
649,10.237692307692308,587,82.8337,-592,-591.0,5700,0.5700000000000001,2,2,272,3.4843
648,10.245384615384616,585,82.52029999999999,-592,-591.0,5600,0.56,0,0,265,3.3982
648,10.245384615384616,583,82.20689999999999,-592,-591.0,6100,0.61,-3,-3,265,3.3982
648,10.245384615384616,578,81.42340000000002,-592,-591.0,6100,0.61,-3,-3,260,3.3367
648,10.245384615384616,579,81.58010000000002,-592,-591.0,6300,0.63,-9,-9,262,3.3613
648,10.245384615384616,584,82.36359999999999,-592,-591.0,6200,0.62,-3,-3,267,3.4228
650,10.23,587,82.8337,-592,-591.0,5900,0.5900000000000001,-9,-9,271,3.472
650,10.23,587,82.8337,-592,-591.0,5500,0.55,2,2,269,3.4474
648,10.245384615384616,584,82.36359999999999,-592,-591.0,5600,0.56,-1,-1,268,3.4351000000000003
648,10.245384615384616,581,81.89349999999999,-592,-591.0,5900,0.5900000000000001,-5,-5,264,3.3859
649,10.237692307692308,577,81.26670000000001,-592,-591.0,6100,0.61,-4,-4,257,3.2998000000000003
648,10.245384615384616,580,81.73680000000002,-592,-591.0,6300,0.63,-7,-7,265,3.3982
649,10.237692307692308,584,82.36359999999999,-592,-591.0,6100,0.61,-1,-1,270,3.4597
649,10.237692307692308,587,82.8337,-592,-591.0,5700,0.5700000000000001,-6,-6,268,3.4351000000000003
648,10.245384615384616,585,82.52029999999999,-592,-591.0,5800,0.5800000000000001,2,2,267,3.4228
648,10.245384615384616,583,82.20689999999999,-592,-591.0,6000,0.6,-2,-2,262,3.3613
648,10.245384615384616,579,81.58010000000002,-592,-591.0,6200,0.62,-4,-4,263,3.3736
647,10.253076923076923,578,81.42340000000002,-593,-592.0,6100,0.61,-9,-9,258,3.3121
648,10.245384615384616,583,82.20689999999999,-593,-592.0,6500,0.65,-4,-4,267,3.4228
649,10.237692307692308,586,82.67699999999999,-592,-591.0,5900,0.5900000000000001,-4,-4,272,3.4843
649,10.237692307692308,587,82.8337,-593,-592.0,5500,0.55,-2,-2,269,3.4474
649,10.237692307692308,585,82.52029999999999,-593,-592.0,5700,0.5700000000000001,0,0,267,3.4228
649,10.237692307692308,582,82.05019999999999,-592,-591.0,5800,0.5800000000000001,-4,-4,263,3.3736
648,10.245384615384616,576,81.11000000000001,-593,-592.0,6000,0.6,-3,-3,260,3.3367
647,10.253076923076923,578,81.42340000000002,-593,-592.0,6300,0.63,-9,-9,256,3.2875
650,10.23,584,82.36359999999999,-593,-592.0,6600,0.66,-4,-4,268,3.4351000000000003
649,10.237692307692308,586,82.67699999999999,-593,-592.0,5600,0.56,-8,-8,268,3.4351000000000003
